L'Opponent défie le<br/> Reporter sur un problème; 1
Le Reporter accepte ou<br/> rejette le défi; 1
Préparation<br/> du Reporter; 3
Présentation<br/> du Reporter; 12
Questions de<br/> l’Opponent et <br/>réponse du Reporter; 2
Préparation<br/> de l’Opponent; 3
Présentation<br/> de l’Opponent; 5
Discussion entre<br/> Reporter et l’Opponent; 5
Discussion générale<br/> (avec l’ensemble des participants); 5
Conclusion<br/> du Reporter; 1
Questions<br/> du Jury; 6
Délibération<br/> du Jury; 1
Remarques<br/> du Jury; 5
